Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
4657,2:14:25,,Daverson RAMOS,06 JUN 1991,PER,7,,Buenos Aires (ARG),24 SEP 2023,1088
4673,2:14:26,,Vadim MOCHALOV,06 JAN 1947,URS,14,,Moskva (URS),24 MAY 1980,1088
4673,2:14:26,,Rudy DIRICKX,10 OCT 1955,BEL,9,,Frankfurt (GER),13 MAY 1984,1088
4673,2:14:26,,Paul KIPKOECH,06 JAN 1963,KEN,1,,"Cleveland, OH (USA)",19 MAY 1991,1088
4673,2:14:26,,Biruk BEKELE,,ETH,1,,Sapporo (JPN),25 AUG 1996,1088
4673,2:14:26,,Sami MTOUGUI,1974,MAR,6,,Reims (FRA),11 OCT 1998,1088
4673,2:14:26,,Moulay Ali OUADIH,08 DEC 1970,MAR,6,,Frankfurt (GER),25 OCT 1998,1088
4673,2:14:26,,Makoto NISHIZAWA,16 MAY 1975,JPN,3,,Ageo (JPN),07 FEB 1999,1088
4673,2:14:26,,Toshiyuki HIGUCHI,21 OCT 1974,JPN,6,,Nobeoka (JPN),28 FEB 1999,1088
4673,2:14:26,,Francis KEMBOI,12 MAR 1966,KEN,5,,Dublin (IRL),29 OCT 2001,1088
4673,2:14:26,,Norihiro MIZUGUCHI,19 JAN 1980,JPN,3,,Nagano (JPN),20 APR 2003,1088
4673,2:14:26,,Jesús PRIMO TORRES,09 JUN 1972,MEX,7,,Torreón (MEX),07 MAR 2004,1088
4673,2:14:26,,Julius Kipsigei MARITIM,1973,KEN,1,,Annecy (FRA),13 APR 2008,1088
4673,2:14:26,,Bouazza SAJI,02 FEB 1982,BEL,15,,Amsterdam (NED),19 OCT 2008,1088
4673,2:14:26,,Wilson MOKI,,KEN,19,,Nairobi (KEN),30 OCT 2011,1088
4673,2:14:26,,Daniel KILIMO,1988,KEN,1,,Kisumu (KEN),16 DEC 2012,1088
4673,2:14:26,,Wubishet GIRUM ZEWDE,13 OCT 1990,ETH,1,,Ahmedabad (IND),06 JAN 2013,1088
4673,2:14:26,,Muhan HASI,27 NOV 1989,CHN,5,,Chongqing (CHN),22 MAR 2015,1088
4673,2:14:26,,Gemechu Edeo KELU,18 JAN 1980,ETH,8,,Beirut (LBN),11 NOV 2018,1088
4673,2:14:26,,Josh KALAPOS,,USA,17,,"Orlando, FL (USA)",03 FEB 2024,1088
4673,2:14:26,,Appachangada BELLIAPPA,11 FEB 1992,IND,16,,Wien (AUT),21 APR 2024,1088
4693,2:14:27,,Ichiro MIHARA,18 AUG 1946,JPN,4,,Oita (JPN),03 FEB 1974,1088
4693,2:14:27,,Jukka TOIVOLA,07 SEP 1949,FIN,10,,Tokyo (JPN),08 FEB 1981,1088
4693,2:14:27,,Karl HARRISON,16 OCT 1956,GBR,18,,London (GBR),17 APR 1988,1088
4693,2:14:27,,Gary SPRING,20 AUG 1963,GBR,4,,Lille (FRA),05 SEP 1992,1088
4693,2:14:27,,Everton Ludivice DE MORAES,17 JUL 1973,BRA,1,,São Paulo (BRA),08 SEP 2002,1088
4693,2:14:27,,Lucho SEME,1979,ETH,16,,Amsterdam (NED),21 OCT 2007,1088
4693,2:14:27,,Aritaka KAJIWARA,16 JUN 1988,JPN,16,,Fukuoka (JPN),04 DEC 2016,1088
4693,2:14:27,,Geoffrey KIPKOECH,,KEN,5,,Madrid (ESP),23 APR 2017,1088
