Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1522,2:31:06,,Anna VILLANI,11 JUN 1966,ITA,5,,Carpi (ITA),27 OCT 1991,1122
1522,2:31:06,,Jean Jebiwott ROTICH,12 JUN 1978,KEN,8,,Düsseldorf (GER),29 APR 2012,1122
1522,2:31:06,,Yugui MA,04 MAR 1995,CHN,1,,Xuzhou (CHN),24 MAR 2019,1122
1522,2:31:06,,Andrea POMARANSKI,02 JUL 1982,USA,7,,"Houston, TX (USA)",15 JAN 2023,1122
1522,2:31:06,,Miriam CHEPKEMOI,28 AUG 1993,KEN,6,,Wuxi (CHN),19 MAR 2023,1122
1527,2:31:07,,Lizanne BUSSIERES,20 AUG 1961,CAN,2,,Victoria (CAN),22 AUG 1994,1122
1527,2:31:07,,Judy KIPLIMO,1968,KEN,1,,Köln (GER),07 OCT 2001,1122
1527,2:31:07,,Jacqueline Nytepi KIPLIMO,02 JUL 1984,KEN,5,,Hangzhou (CHN),18 NOV 2012,1122
1527,2:31:07,,Monika BYTAUTIENĖ,17 MAR 1989,LTU,7,,Debno (POL),18 APR 2021,1122
1531,2:31:08,,Belaynesh Shifera YIGEZU,1988,ETH,3,,Barcelona (ESP),15 MAR 2015,1121
1531,2:31:08,,Melina WOLF,21 DEC 1992,GER,26,,Berlin (GER),24 SEP 2023,1121
1533,2:31:09,,Marianne DICKERSON,14 NOV 1960,USA,2,,"Olympiastadion, Helsinki (FIN)",07 AUG 1983,1121
1534,2:31:10,,Kaoki KODA,01 DEC 1976,JPN,8,,Osaka (JPN),25 JAN 1998,1121
1534,2:31:10,,Beverly RAMOS,24 AUG 1987,PUR,20,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1121
1536,2:31:11,,Tetyana HOLOVCHENKO,13 FEB 1980,UKR,2,,Zürich (SUI),07 APR 2013,1121
1536,2:31:11,,Eddah JEPKOSGEI,,KEN,1,,Linz (AUT),15 APR 2018,1121
1536,2:31:11,,Akiko KUDO,21 OCT 1983,JPN,8,,Taipei City (TPE),15 DEC 2019,1121
1536,2:31:11,,Monika ANDRZEJCZAK,05 JAN 1985,POL,1,,Warszawa (POL),26 SEP 2021,1121
1540,2:31:12,,Tatyana TITOVA,06 AUG 1965,RUS,1,,Paris (FRA),29 MAR 1992,1121
1540,2:31:12,,Angelica SÁNCHEZ,11 DEC 1975,MEX,3,,Milano (ITA),30 NOV 2003,1121
1540,2:31:12,,Carrie DIMOFF,31 MAY 1983,USA,14,,"New York, NY (USA)",04 NOV 2018,1121
1543,2:31:13,,Sin MYONG-AE,1977,PRK,4,,Pyongyang (PRK),15 APR 2001,1121
1543,2:31:13,,Letay NEGASH,1983,ETH,3,,Dublin (IRL),27 OCT 2008,1121
1543,2:31:13,,Korei OMATA,05 JUL 1987,JPN,15,,Nagoya (JPN),11 MAR 2012,1121
1546,2:31:14,,Kumi ARAKI,11 OCT 1965,JPN,10,,Osaka (JPN),26 JAN 1992,1120
1546,2:31:14,,Song-Suk OH,02 SEP 1977,PRK,5,,Pyongyang (PRK),07 APR 2002,1120
1546,2:31:14,,An-Un SUK,,PRK,6,,Pyongyang (PRK),08 APR 2007,1120
1546,2:31:14,,Jenny SPINK,07 AUG 1981,GBR,13,,Frankfurt (GER),27 OCT 2019,1120
1550,2:31:15,,Marisol ROMERO ROSALES,26 JAN 1983,MEX,1,,Torreón (MEX),04 MAR 2012,1120
1550,2:31:15,,Molly CULVER,,USA,6,,"Duluth, MN (USA)",18 JUN 2022,1120
1552,2:31:16,,Hiroe FUKUDA,06 FEB 1968,JPN,11,,Osaka (JPN),26 JAN 1992,1120
1552,2:31:16,,Mari YOSHIKAWA,05 JAN 1975,JPN,10,,Nagoya (JPN),10 MAR 1996,1120
1552,2:31:16,,Maria Dolores VALENCIA JIMÉNEZ,06 SEP 1975,MEX,1,,Torreón (MEX),04 MAR 2007,1120
1552,2:31:16,,Yesenia CENTENO,27 JUN 1971,ESP,4,,Hamburg (GER),27 APR 2008,1120
1552,2:31:16,,Anna BAŃKOWSKA,31 MAR 1990,POL,1,,Dresden (GER),21 MAR 2021,1120
1557,2:31:17,,Tiruwork MEKONNEN,1986,ETH,6,,Roma (ITA),21 MAR 2010,1120
1557,2:31:17,,Yukiko OKUNO,12 SEP 1992,JPN,10,,Tokyo (JPN),28 FEB 2016,1120
1557,2:31:17,,Haruna TAKADA,17 FEB 1990,JPN,15,,Nagoya (JPN),13 MAR 2016,1120
1557,2:31:17,,Nancy Chepngetich KIMAIYO,1984,KEN,8,,Shanghai (CHN),12 NOV 2017,1120
1561,2:31:18,,Anne Marie LAUCK,07 MAR 1969,USA,3,,"Columbia, SC (USA)",10 FEB 1996,1120
1562,2:31:19,,Tani RUCKLE,25 JUN 1962,AUS,4,,"Chicago, IL (USA)",30 OCT 1988,1120
1562,2:31:19,,Hongxia WANG,13 JAN 1975,CHN,7,,Nagoya (JPN),09 MAR 2003,1120
1562,2:31:19,,Yihunlish DELELECHA BEKELE,22 OCT 1981,ETH,3,,"Houston, TX (USA)",15 JAN 2012,1120
1565,2:31:20,,Francoise BONNET,08 APR 1957,FRA,9,,London (GBR),22 APR 1990,1120
1565,2:31:20,,Carmen FUENTES,07 JUN 1965,ESP,2,,Rotterdam (NED),23 APR 1995,1120
1565,2:31:20,,Akiyo ONISHI,03 MAY 1978,JPN,1,,Nagano (JPN),15 APR 2001,1120
1565,2:31:20,,Mercy Jemutai TANUI,1984,KEN,2,,Rabat (MAR),19 APR 2015,1120
1565,2:31:20,,Sviatlana KUDZELICH,07 MAY 1987,BLR,5,,Warszawa (POL),14 APR 2019,1120
1565,2:31:20,,Bethany SACHTLEBEN,09 FEB 1992,USA,2,,Lima (PER),27 JUL 2019,1120
1565,2:31:20,,Natascha MOMMERS,1984,GER,4,,Hannover (GER),26 MAR 2023,1120
1572,2:31:21,,Antonella BIZIOLI,29 MAR 1957,ITA,1,,Cesano Boscone (ITA),13 NOV 1988,1119
1572,2:31:21,,Yuko YAMAZOE,04 MAY 1973,JPN,9,,Osaka (JPN),30 JAN 1994,1119
1572,2:31:21,,Fenjin LI,11 FEB 1983,CHN,6,,Xiamen (CHN),27 MAR 2004,1119
1572,2:31:21,,Sun-sook YUN,28 MAY 1972,KOR,1,,Gongju (KOR),19 OCT 2008,1119
1572,2:31:21,,Jane Jepkosgei KIPTOO,08 AUG 1982,KEN,4,,Düsseldorf (GER),27 APR 2014,1119
1577,2:31:22,,Lidia CAMBERG,31 JAN 1962,POL,6,,Carpi (ITA),27 OCT 1991,1119
1577,2:31:22,,Valentina ENACHI,15 FEB 1966,MDA,1,,Lyon (FRA),26 OCT 1997,1119
1579,2:31:23,,Kirsi MATTILA,17 MAR 1962,FIN,4,,Berlin (GER),25 SEP 1994,1119
1579,2:31:23,,Priscilla LORCHIMA,1985,KEN,3,,Hamburg (GER),21 APR 2013,1119
1581,2:31:24,,Kit Ching YIU,20 FEB 1988,HKG,17,,Milano (ITA),16 MAY 2021,1119
1581,2:31:24,,Bizuager ADERRA,1996,ETH,3,,Castellón (ESP),25 FEB 2024,1119
1583,2:31:25,,Yunxia LI,01 SEP 1979,CHN,3,,Beijing (CHN),09 OCT 1999,1119
1583,2:31:25,,Milkah CHEPKIENIY,12 AUG 1976,KEN,4,,Paris (FRA),09 APR 2000,1119
1583,2:31:25,,Vanessa FERNANDEZ,14 SEP 1985,POR,6,,Valencia (ESP),15 NOV 2015,1119
1586,2:31:26,,Anne VAN SCHUPPEN,11 OCT 1960,NED,3,,Rotterdam (NED),28 APR 1996,1119
1586,2:31:26,,Lydia KURGAT,1976,KEN,2,,Eindhoven (NED),11 OCT 2009,1119
1588,2:31:27,,Janet MAYAL,14 JUL 1963,BRA,5,,Berlin (GER),29 SEP 1991,1118
1588,2:31:27,,Miyako IWAI,15 FEB 1968,JPN,7,,Nagoya (JPN),07 MAR 1993,1118
1588,2:31:27,,Almaz ALEMU,19 APR 1982,ETH,1,,Castellón (ESP),12 DEC 2010,1118
1588,2:31:27,,Gladys YATOR,08 AUG 1992,KEN,6,,Warszawa (POL),14 APR 2019,1118
1588,2:31:27,,Zhuang LIU,18 JAN 1995,CHN,5,,Xuzhou (CHN),11 APR 2021,1118
1588,2:31:27,,Hanane QALLOUJ,01 FEB 1992,MAR,3,,Marrakech (MAR),15 MAY 2022,1118
1588,2:31:27,,Ana Mafalda FERREIRA,22 APR 1988,POR,1,,Aveiro (POR),23 APR 2023,1118
1595,2:31:28,,Myong-Hui HONG,29 JUL 1978,PRK,1,,Pyongyang (PRK),09 APR 2000,1118
1595,2:31:28,,Marie SÖDERSTRÖM-LUNDBERG,21 OCT 1960,SWE,2,,Stockholm (SWE),09 JUN 2001,1118
1595,2:31:28,,Svitlana STANKO-KLYMENKO,13 MAY 1976,UKR,1,,Warszawa (POL),25 SEP 2011,1118
1595,2:31:28,,Deborah TONIOLO,24 APR 1977,ITA,15,,Berlin (GER),27 SEP 2015,1118
1595,2:31:28,,Aya HIGASHIMOTO,07 APR 1992,JPN,7,,Osaka (JPN),31 JAN 2016,1118
1600,2:31:29,,Ri MYONG SIL,24 APR 1981,PRK,4,,Beijing (CHN),09 OCT 1999,1118
