Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
2225,2:34:02,,Monica SILVA,25 NOV 1983,POR,8,,Hamburg (GER),26 APR 2015,1093
2225,2:34:02,,Zinashwork YENEW,11 SEP 1993,ETH,4,,Cape Town (RSA),16 OCT 2022,1093
2229,2:34:03,,Hong-mei WANG,28 JAN 1967,CHN,11,,Osaka (JPN),31 JAN 1993,1093
2230,2:34:04,,Kate O'NEILL,29 JUL 1980,USA,9,,"Chicago, IL (USA)",12 OCT 2008,1093
2230,2:34:04,,Grace WATUA KITONGA,,KEN,5,,Nairobi (KEN),30 OCT 2011,1093
2230,2:34:04,,Yuri NOZOE,03 MAY 1996,JPN,20,,Nagoya (JPN),08 MAR 2020,1093
2230,2:34:04,,Maria Sagnes WÅGAN,22 MAY 1992,NOR,26,,Sevilla (ESP),19 FEB 2023,1093
2234,2:34:05,,Jeannette HEIN,17 DEC 1966,GDR,1,,Berlin (GER),12 SEP 1987,1093
2234,2:34:05,,Eiko YAMAZAKI,05 SEP 1971,JPN,16,,Nagoya (JPN),09 MAR 1997,1093
2234,2:34:05,,Faustina Maria RAMOS,28 APR 1971,ESP,4,,Rotterdam (NED),21 APR 2002,1093
2234,2:34:05,,Yukiko MATSUBARA,29 DEC 1987,JPN,18,,Osaka (JPN),27 JAN 2008,1093
2234,2:34:05,,Odekta Elvina NAIBAHO,05 NOV 1991,INA,10,,Daegu (KOR),07 APR 2024,1093
2239,2:34:06,,Larisa TIMKINA,07 DEC 1966,MDA,1,,Mainz (GER),06 MAY 2001,1093
2239,2:34:06,,Etaferahu TAREKEGN,19 APR 1980,ETH,3,,Zürich (SUI),26 APR 2009,1093
2239,2:34:06,,Ashlee POWERS,22 DEC 1993,USA,11,,"Duluth, MN (USA)",17 JUN 2023,1093
2242,2:34:07,,Maria STAROVSKA,02 MAR 1959,TCH,1,,Barcelona (ESP),15 MAR 1992,1092
2242,2:34:07,,Adelia ELIAS,07 MAY 1974,POR,9,,Berlin (GER),28 SEP 2003,1092
2242,2:34:07,,Abiyot ESHETU DEME,20 SEP 1990,ETH,1,,Würzburg (GER),17 MAY 2015,1092
2242,2:34:07,,Heather LIEBERG,18 JUN 1979,USA,3,,"Minneapolis, MN (USA)",06 OCT 2019,1092
2246,2:34:08,,Anastasiya PODALYNSKAYA,14 MAR 1992,BLR,7,,Roma (ITA),16 MAR 2008,1092
2246,2:34:08,,Lisa FLINT,20 MAY 1985,AUS,1,,Melbourne (AUS),11 OCT 2009,1092
2246,2:34:08,,Jong-sim RI,,PRK,8,,Pyongyang (PRK),07 APR 2019,1092
2246,2:34:08,,Helen DAVIES,12 SEP 1979,GBR,1,,Brighton (GBR),14 APR 2019,1092
2250,2:34:09,,Martha WHITE,31 OCT 1959,USA,8,,"Olympia, WA (USA)",12 MAY 1984,1092
2250,2:34:09,,Gail KINGMA,16 DEC 1960,USA,2,,"Sacramento, CA (USA)",02 DEC 1984,1092
2250,2:34:09,,Cyndie BROWN,29 AUG 1961,USA,2,,"Pittsburgh, PA (USA)",03 MAY 1987,1092
2250,2:34:09,,Cassandra MIHAILOVIC,06 APR 1961,FRA,4,,Berlin (GER),04 OCT 1987,1092
2250,2:34:09,,Sirje EICHELMANN,16 JUL 1955,URS,2,,Belaya Tserkov (URS),07 OCT 1988,1092
2250,2:34:09,,Kaoru SUGITA,30 JUL 1974,JPN,19,,Nagoya (JPN),10 MAR 1996,1092
2250,2:34:09,,Yuko KAWAKAMI,01 AUG 1975,JPN,9,,Nagoya (JPN),14 MAR 1999,1092
2250,2:34:09,,Claudia OBERLIN,29 JAN 1979,SUI,2,,Zürich (SUI),04 APR 2004,1092
2250,2:34:09,,Karen VAN PROEYEN,18 NOV 1984,BEL,5,,Eindhoven (NED),08 OCT 2023,1092
2250,2:34:09,,Mekkonen Serkalem MENGISTE,04 SEP 1999,ETH,2,,Zürich (SUI),21 APR 2024,1092
2260,2:34:10,,Susanne RIERMEIER,23 DEC 1960,FRG,3,,Frankfurt (GER),19 MAY 1985,1092
2260,2:34:10,,Bonnie MCREYNOLDS,03 JAN 1964,USA,2,,"Duluth, MN (USA)",22 JUN 1996,1092
2260,2:34:10,,Heather TURLAND,27 APR 1960,AUS,3,,Frankfurt (GER),27 OCT 1996,1092
2260,2:34:10,,Yulia ARFIPOVA,07 MAR 1981,UZB,8,,Frankfurt (GER),28 OCT 2007,1092
2260,2:34:10,,Jessica Patricia RODRÍGUEZ GALVÁN,09 SEP 1976,MEX,2,,Culiacán (MEX),18 JAN 2009,1092
2260,2:34:10,,Yenealem AYANEW,14 MAR 1986,ETH,4,,Barcelona (ESP),07 MAR 2010,1092
2260,2:34:10,,Evelyn LAGAT,12 AUG 1980,KEN,5,,"Baltimore, MD (USA)",15 OCT 2011,1092
2260,2:34:10,,Hiruni WIJAYARATNE,05 DEC 1990,SRI,2,,Düsseldorf (GER),28 APR 2019,1092
2268,2:34:11,,Rita BORRALHO,21 MAR 1954,POR,5,,Berlin (GER),01 OCT 1989,1092
2268,2:34:11,,Sally GOLDSMITH,18 JAN 1961,GBR,1,,Ferrara (ITA),03 MAR 1996,1092
2268,2:34:11,,Maria OSOKINA,04 NOV 1993,RUS,1,,St. Petersburg (RUS),30 JUN 2019,1092
2268,2:34:11,,Hikaru KITAGAWA,24 NOV 2001,JPN,18,,Osaka (JPN),28 JAN 2024,1092
2272,2:34:12,,Fátima NEVES,13 FEB 1963,POR,8,,Paris (FRA),24 APR 1994,1092
2272,2:34:12,,Yukiko SANO,02 DEC 1973,JPN,14,,Osaka (JPN),25 JAN 1998,1092
2272,2:34:12,,Wilma VAN ONNA,13 JUN 1965,NED,2,,Eindhoven (NED),10 OCT 1999,1092
2272,2:34:12,,Misuzu OKAMOTO,21 MAY 1989,JPN,5,,Sapporo (JPN),30 AUG 2009,1092
2272,2:34:12,,Ivana IOZZIA,18 FEB 1973,ITA,1,,Torino (ITA),17 NOV 2013,1092
2277,2:34:13,,Pamela LISORENG,1987,KEN,4,,Hengshui (CHN),21 SEP 2013,1091
2277,2:34:13,,Arado GULUME,1996,ETH,3,,Linz (AUT),07 APR 2024,1091
2279,2:34:14,,Prisca KIPRONO,1980,KEN,3,,Zürich (SUI),20 APR 2008,1091
2279,2:34:14,,Kedir ZAHARA,1986,ETH,5,,Hong Kong (HKG),05 FEB 2012,1091
2279,2:34:14,,Keneni ASSEFA GUDETA,1988,ETH,3,,Zhengzhou (CHN),27 MAR 2016,1091
2279,2:34:14,,Kelli SMITH,,USA,12,,"Houston, TX (USA)",16 JAN 2022,1091
2283,2:34:15,,Akiyo GOTO,13 JUL 1970,JPN,13,,Nagoya (JPN),07 MAR 1993,1091
2283,2:34:15,,Jinxue CHANG,09 MAR 1988,CHN,8,,Beijing (CHN),24 OCT 2010,1091
2283,2:34:15,,Gum Hui RIM,1993,PRK,5,,Pyongyang (PRK),10 APR 2016,1091
2283,2:34:15,,Karen EHRENREICH,24 SEP 1984,DEN,27,,Sevilla (ESP),19 FEB 2023,1091
2287,2:34:16,,Yelena ORLOVA,03 FEB 1970,RUS,1,,"Detroit, MI (USA)",24 OCT 2004,1091
2287,2:34:16,,Chinami FUKAMINATO,21 MAY 1985,JPN,6,,Sapporo (JPN),30 AUG 2009,1091
2287,2:34:16,,Hellen CHEPKORIR,23 JAN 1994,KEN,8,,Košice (SVK),01 OCT 2017,1091
2287,2:34:16,,Caryl JONES,04 APR 1987,GBR,11,,Amsterdam (NED),15 OCT 2017,1091
2291,2:34:17,,Joanna LODGE,06 JAN 1968,GBR,7,,Berlin (GER),29 SEP 2002,1091
2291,2:34:17,,Turena JOHNSON-LANE,20 JUL 1975,USA,6,,"Boston, MA (USA)",20 APR 2008,1091
2291,2:34:17,,Dagmara HANDZLIK,20 FEB 1986,CYP,7,,Gold Coast (AUS),07 JUL 2019,1091
2294,2:34:18,,Joke KLEIJWEG,29 JAN 1962,NED,1,,Rotterdam (NED),21 APR 1991,1091
2294,2:34:18,,Mineko WATANABE,24 JUL 1972,JPN,6,,Nagoya (JPN),12 MAR 1995,1091
2294,2:34:18,,Miya NISHIO,11 MAY 1988,JPN,12,,Tokyo (JPN),28 FEB 2016,1091
2294,2:34:18,,Vera NUNES,27 JAN 1980,POR,1,,Zürich (SUI),09 APR 2017,1091
2294,2:34:18,,Ruth CROFT,15 JAN 1989,NZL,8,,Seoul (KOR),17 MAR 2019,1091
2294,2:34:18,,Bency Chepngeno CHERUIYOT,16 JUL 1990,KEN,11,,Istanbul (TUR),07 NOV 2021,1091
2294,2:34:18,,Hayat BENHIMA,13 JAN 1992,MAR,9,,Rabat (MAR),21 APR 2024,1091
