Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
2029,2:33:19,,Xinyun YANG,14 JUL 2001,CHN,9,,Beijing (CHN),29 OCT 2023,1100
2035,2:33:20,,Claudia METZNER,05 MAY 1966,GER,2,,Frankfurt (GER),25 OCT 1992,1100
2035,2:33:20,,Karina SZYMAŃSKA,16 JAN 1975,POL,1,,Odense (DEN),13 OCT 2002,1100
2035,2:33:20,,Anna THOMPSON,11 DEC 1976,AUS,4,,Rotterdam (NED),10 APR 2005,1100
2035,2:33:20,,Inge DE JONG,06 JUN 1976,NED,7,,Rotterdam (NED),10 APR 2016,1100
2035,2:33:20,,Almenesh HERPA,,ETH,5,,Beirut (LBN),11 NOV 2018,1100
2035,2:33:20,,Melanie MYRAND,07 OCT 1985,CAN,9,,Rotterdam (NED),07 APR 2019,1100
2035,2:33:20,,Milda EIMONTE,17 MAR 1989,LTU,14,,Berlin (GER),29 SEP 2019,1100
2042,2:33:21,,Myong Hui KIM,04 JAN 1967,PRK,3,,Pyongyang (PRK),09 APR 1995,1100
2042,2:33:21,,Patricia JARDON,17 MAR 1967,MEX,5,,Rotterdam (NED),28 APR 1996,1100
2042,2:33:21,,Kaori TANABE,30 APR 1975,JPN,11,,Nagoya (JPN),14 MAR 2004,1100
2042,2:33:21,,Mingming JIN,10 DEC 1996,CHN,6,,Chongqing (CHN),20 MAR 2016,1100
2042,2:33:21,,Kenza DAHMANI,18 NOV 1980,ALG,1,,Łódź (POL),23 APR 2017,1100
2047,2:33:22,,Christa VAHLENSIECK,27 MAY 1949,FRG,2,,"Los Angeles, CA (USA)",05 JUN 1983,1100
2047,2:33:22,,Monika SCHÄFER,06 OCT 1959,FRG,2,,Hamburg (GER),26 APR 1987,1100
2047,2:33:22,,Lidia PANCIU,12 DEC 1969,ROU,1,,Puteaux (FRA),10 NOV 1996,1100
2047,2:33:22,,Laura GOTTI,14 JUN 1991,ITA,6,,Milano (ITA),08 APR 2018,1100
2047,2:33:22,,Gode CHALA,15 OCT 1997,ETH,7,,Barcelona (ESP),08 MAY 2022,1100
2052,2:33:23,,Carolyn NAISBY,27 AUG 1959,GBR,1,,Firenze (ITA),06 DEC 1987,1100
2052,2:33:23,,Yan-ping HAN,,CHN,18,,Tianjin (CHN),04 APR 1993,1100
2052,2:33:23,,Hitomi NAKAMURA,23 JUN 1987,JPN,9,,Osaka (JPN),31 JAN 2016,1100
2052,2:33:23,,Sophie SEWARD,,USA,3,,"Duluth, MN (USA)",22 JUN 2019,1100
2052,2:33:23,,Ümmü KIRAZ,27 SEP 1982,TUR,23,,"Hősök tere, Budapest (HUN)",26 AUG 2023,1100
2057,2:33:24,,Nancy CONZ,01 MAY 1957,USA,1,,"Chicago, IL (USA)",26 SEP 1982,1099
2057,2:33:24,,Gabriela GORZYNSKA,27 FEB 1956,POL,2,,Debno (POL),06 APR 1986,1099
2057,2:33:24,,Sally ELLIS,17 MAY 1958,GBR,12,,London (GBR),23 APR 1989,1099
2057,2:33:24,,Nanami MATSUURA,24 DEC 1989,JPN,10,,Osaka (JPN),26 JAN 2014,1099
2057,2:33:24,,Kim DILLEN,15 JAN 1983,NED,10,,Berlin (GER),24 SEP 2017,1099
2057,2:33:24,,Kaili WANG,23 DEC 1996,CHN,9,,Nanjing (CHN),29 NOV 2020,1099
2063,2:33:25,,Gabriele ANDERSEN,20 MAR 1945,SUI,1,,"Sacramento, CA (USA)",04 DEC 1983,1099
2063,2:33:25,,Hilde HOVDENAK,15 FEB 1971,NOR,6,,Rotterdam (NED),18 APR 1999,1099
2063,2:33:25,,Sun-yong KIM,05 AUG 1980,PRK,9,,Pyongyang (PRK),08 APR 2007,1099
2063,2:33:25,,Tsigei WORKU,19 JAN 1982,ETH,7,,Frankfurt (GER),28 OCT 2007,1099
2063,2:33:25,,Viktoriya POLYUDINA,29 JUN 1989,KGZ,1,,Shenzhen (CHN),17 DEC 2017,1099
2063,2:33:25,,Gulzhanat ZHANATBEK,30 NOV 1991,KAZ,2,,Nur-Sultan (KAZ),08 SEP 2019,1099
2063,2:33:25,,Thea HEIM,26 JUL 1992,GER,26,,Valencia (ESP),04 DEC 2022,1099
2063,2:33:25,,Leila ARMOUSH,,GBR,52,,Valencia (ESP),03 DEC 2023,1099
2071,2:33:26,,Olena PLASTININA,05 NOV 1963,UKR,3,,"Duluth, MN (USA)",19 JUN 1999,1099
2071,2:33:26,,Alemnesh ESHETU HABTEMIKAEL,02 DEC 1990,ETH,1,,Sevilla (ESP),13 FEB 2011,1099
2071,2:33:26,,Chloe RICHARDSON,04 DEC 1993,GBR,5,,Manchester (GBR),03 APR 2022,1099
2071,2:33:26,,XiuZhen MA,05 JUL 2000,CHN,5,,Hangzhou (CHN),17 APR 2022,1099
2071,2:33:26,,Marjolaine NICOLAS,1992,FRA,27,,Valencia (ESP),04 DEC 2022,1099
2071,2:33:26,,Breanna SIERACKI,05 AUG 1995,USA,10,,"Duluth, MN (USA)",17 JUN 2023,1099
2071,2:33:26,,Chiara Milena MAINETTI,08 JUN 1988,ARG,38,,Sevilla (ESP),18 FEB 2024,1099
2078,2:33:27,,Eleanor DAVIS,21 FEB 1989,GBR,20,,Valencia (ESP),01 DEC 2019,1099
2078,2:33:27,,Dylan HASSETT,19 MAY 1993,IRL,6,,Pulford (GBR),25 APR 2021,1099
2078,2:33:27,,Élissa LEGAULT,20 JUN 1994,CAN,2,,Ottawa (CAN),29 MAY 2022,1099
2081,2:33:28,,Kristijna LOONEN,26 JUL 1970,NED,5,,Rotterdam (NED),10 APR 2005,1099
2081,2:33:28,,Nicola DUNCAN,15 MAR 1989,IRL,11,,London (GBR),13 APR 2014,1099
2081,2:33:28,,Pascalia CHEPKOECH,,KEN,1,,Ravenna (ITA),10 NOV 2019,1099
2084,2:33:29,,Miyuki TOKURA,02 JUL 1973,JPN,1,,Kochi (JPN),16 FEB 1997,1099
2084,2:33:29,,Yunman MA,07 JUN 1984,CHN,5,,Beijing (CHN),17 OCT 2004,1099
2086,2:33:30,,Maria José PUEYO,16 MAR 1970,ESP,10,,Hamburg (GER),23 APR 2006,1098
2087,2:33:31,,Lynn NELSON,08 JAN 1962,USA,8,,"Pittsburgh, PA (USA)",01 MAY 1988,1098
2087,2:33:31,,Miwako UEKI,27 JUN 1978,JPN,11,,Nagoya (JPN),13 MAR 2005,1098
2087,2:33:31,,Jung yoon CHOI,13 JUN 1993,KOR,9,,Daegu (KOR),03 APR 2022,1098
2090,2:33:32,,Maria Fatima CABRAL,14 JAN 1972,POR,6,,Milano (ITA),30 NOV 2003,1098
2090,2:33:32,,Ruth KARANJA,05 JUL 1990,KEN,5,,Wuxi (CHN),24 MAR 2019,1098
2090,2:33:32,,Meskerem HUNDE,06 DEC 1987,ETH,1,,Nagano (JPN),21 APR 2019,1098
2090,2:33:32,,Faxian DOU,24 APR 1997,CHN,10,,Nanjing (CHN),29 NOV 2020,1098
2094,2:33:33,,Linda STAUDT,19 AUG 1958,CAN,1,,Montréal (CAN),13 SEP 1981,1098
2094,2:33:33,,Nelly AERTS,30 SEP 1962,BEL,1,,Bruxelles (BEL),27 SEP 1987,1098
2094,2:33:33,,Josette COLOMB,28 JAN 1953,FRA,8,,Paris (FRA),21 APR 1996,1098
2094,2:33:33,,Simona VIOLA,18 NOV 1971,ITA,10,,Berlin (GER),26 SEP 1999,1098
2094,2:33:33,,Alla ZADOROZHNAYA,04 APR 1972,BLR,5,,Frankfurt (GER),29 OCT 2000,1098
2094,2:33:33,,Erika ABRIL,29 MAR 1978,COL,50,,"Olympic Stadium, London (GBR)",05 AUG 2012,1098
2094,2:33:33,,Marybeth CHELANGA,05 SEP 1989,USA,23,,"Orlando, FL (USA)",03 FEB 2024,1098
