Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
2125,2:33:41,,Kaoru YAMADA,24 NOV 1975,JPN,9,,Osaka (JPN),27 JAN 2002,1097
2125,2:33:41,,Kate SANBORN,11 DEC 1997,USA,11,,"Houston, TX (USA)",16 JAN 2022,1097
2130,2:33:42,,Li YOONG HUI,,PRK,6,,Pyongyang (PRK),07 APR 2002,1096
2130,2:33:42,,Lauren SHELLEY,02 DEC 1976,AUS,8,,Tokyo (JPN),20 NOV 2005,1096
2130,2:33:42,,Rehaset MEHARI,05 MAR 1989,ERI,5,,Roma (ITA),18 MAR 2012,1096
2130,2:33:42,,Anja FINK,12 APR 1997,SLO,53,,Valencia (ESP),03 DEC 2023,1096
2134,2:33:43,,Akemi TAKAYAMA,31 MAY 1968,JPN,1,,Sasayama (JPN),10 MAR 1991,1096
2134,2:33:43,,Natalya KURBATOVA,17 OCT 1985,RUS,2,,Saransk (RUS),03 JUN 2006,1096
2134,2:33:43,,Christine KALMER,10 FEB 1986,RSA,9,,Valencia (ESP),15 NOV 2015,1096
2137,2:33:44,,Grazyna MIERZEJEWSKA,28 OCT 1957,POL,3,,Debno (POL),06 APR 1986,1096
2137,2:33:44,,Annette FINCKE,10 OCT 1963,GDR,17,,London (GBR),22 APR 1990,1096
2137,2:33:44,,Wioletta KRYZA,10 AUG 1968,POL,2,,Edinburgh (GBR),26 SEP 1999,1096
2137,2:33:44,,Yihua SU,,CHN,16,,Beijing (CHN),13 OCT 2002,1096
2137,2:33:44,,Amy WATERLOW,29 JUL 1978,GBR,19,,London (GBR),22 APR 2012,1096
2137,2:33:44,,Bridget LYONS,05 FEB 1988,USA,15,,Rotterdam (NED),16 APR 2023,1096
2143,2:33:45,,Hong OK-DAN,19 JAN 1978,PRK,8,,Pyongyang (PRK),13 APR 2003,1096
2143,2:33:45,,Hirut BEYENE GUANGUL,16 APR 1992,ETH,3,,"Philadelphia, PA (USA)",21 NOV 2021,1096
2143,2:33:45,,Yuka GITOU,03 OCT 2000,JPN,25,,Nagoya (JPN),13 MAR 2022,1096
2146,2:33:46,,Krystyna CHYLIÑSKA,18 NOV 1964,POL,13,,London (GBR),23 APR 1989,1096
2146,2:33:46,,Izabela ZATORSKA,06 OCT 1962,POL,7,,Berlin (GER),27 SEP 1992,1096
2146,2:33:46,,Rebecca KIPSANG,,KEN,3,,Kisumu (KEN),16 DEC 2012,1096
2146,2:33:46,,Laura PORTIS,27 MAR 1987,USA,2,,St. Paul (USA),06 OCT 2013,1096
2146,2:33:46,,Sitora KHAMIDOVA,12 MAY 1989,UZB,7,,Warszawa (POL),14 APR 2019,1096
2146,2:33:46,,Yukari NAGATOMO,16 FEB 1985,JPN,18,,Nagoya (JPN),10 MAR 2024,1096
2152,2:33:47,,Xiaoxia WANG,21 AUG 1976,CHN,2,,Dalian (CHN),27 OCT 1996,1096
2152,2:33:47,,Masako KUSAKAYA,26 FEB 1972,JPN,12,,Nagoya (JPN),12 MAR 2000,1096
2152,2:33:47,,Hayley MCGREGOR,27 MAY 1979,AUS,2,,"Phoenix, AZ (USA)",09 JAN 2005,1096
2152,2:33:47,,Yumei CHEN,01 SEP 1974,CHN,4,,Shanghai (CHN),05 DEC 2010,1096
2156,2:33:48,,Rebby KOECH,30 OCT 1980,KEN,5,,Venezia (ITA),24 OCT 2010,1095
2156,2:33:48,,Tomomi HIGUCHI,22 AUG 1984,JPN,8,,Daegu (KOR),10 APR 2011,1095
2156,2:33:48,,Manami KIKUHARA,,JPN,18,,Singapore (SGP),06 DEC 2015,1095
2156,2:33:48,,Lebo Dinah PHALULA,09 DEC 1983,RSA,5,,Enschede (NED),17 APR 2016,1095
2156,2:33:48,,Tessa MCCORMICK,25 JUN 1995,GBR,54,,Valencia (ESP),03 DEC 2023,1095
2161,2:33:49,,Marie-Louise HAMRIN,19 APR 1957,SWE,1,,"Columbus, OH (USA)",16 NOV 1986,1095
2161,2:33:49,,Erin BAKER,23 MAY 1961,NZL,8,,"Los Angeles, CA (USA)",01 MAR 1992,1095
2161,2:33:49,,Abebech TSEGAYE,1992,ETH,2,,Sevilla (ESP),22 FEB 2015,1095
2164,2:33:50,,Huayuan CHA,,CHN,6,,Beijing (CHN),20 OCT 1996,1095
2164,2:33:50,,Silvana TRAMPUZ,15 SEP 1966,AUS,5,,Hamburg (GER),25 APR 1999,1095
2164,2:33:50,,Ichiyo NAGANUMA,05 NOV 1971,JPN,8,,Tokyo (JPN),17 NOV 2002,1095
2164,2:33:50,,Mary AKOR,25 SEP 1976,USA,2,,St. Paul (USA),01 OCT 2006,1095
2164,2:33:50,,Viktoriya TRUSHENKO,19 JUL 1984,RUS,7,,Rotterdam (NED),13 APR 2008,1095
2164,2:33:50,,Fatima AYACHI,31 AUG 1985,MAR,5,,Valencia (ESP),17 NOV 2013,1095
2164,2:33:50,,Zhiling ZHENG,25 DEC 1996,CHN,8,,Seoul (KOR),20 MAR 2016,1095
2164,2:33:50,,Daisy LANGAT,27 OCT 1997,KEN,1,,Tallinn (EST),09 SEP 2018,1095
2172,2:33:51,,Sandy JACOBSON,23 MAR 1966,CAN,28,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1095
2172,2:33:51,,Yukako GOTO,16 SEP 1973,JPN,8,,Osaka (JPN),28 JAN 2007,1095
2172,2:33:51,,Samira RAIF,04 APR 1974,MAR,2,,Hong Kong (HKG),20 FEB 2011,1095
2172,2:33:51,,Tetyana VERNIGOR,23 JAN 1983,UKR,9,,Frankfurt (GER),28 OCT 2012,1095
2172,2:33:51,,Kana ORINO,15 MAR 1992,JPN,18,,Nagoya (JPN),09 MAR 2014,1095
2177,2:33:52,,Regina JOYCE,07 FEB 1957,IRL,7,,"Olympiastadion, Helsinki (FIN)",07 AUG 1983,1095
2177,2:33:52,,Tatyana IVANOVA-ZOLOTAREVA,22 JUL 1970,RUS,6,,Paris (FRA),25 APR 1993,1095
2177,2:33:52,,Xiujie WANG,20 NOV 1973,CHN,4,,Beijing (CHN),10 OCT 1998,1095
2177,2:33:52,,Ayumi NOSHITA,07 MAY 1977,JPN,12,,Osaka (JPN),30 JAN 2000,1095
2177,2:33:52,,Rika TABASHI,12 NOV 1981,JPN,1,,Košice (SVK),03 OCT 2004,1095
2177,2:33:52,,Merima HASHIM,1981,ETH,6,,"Las Vegas, NV (USA)",04 DEC 2005,1095
2177,2:33:52,,Runa Skrove FALCH,23 JUN 1990,NOR,3,,Málaga (ESP),09 DEC 2018,1095
2177,2:33:52,,Rachel BAPTISTA,23 APR 1993,USA,10,,"Houston, TX (USA)",20 JAN 2019,1095
2177,2:33:52,,Mia BEHM,26 JAN 1990,USA,2,,"Chicago, IL (USA)",13 OCT 2019,1095
2177,2:33:52,,Nicolasa CONDORI,06 DEC 1988,PER,2,,Lima (PER),11 SEP 2022,1095
2177,2:33:52,,Ryo KOIDO,16 SEP 1997,JPN,25,,Nagoya (JPN),12 MAR 2023,1095
2188,2:33:53,,Magda ILANDS,16 JAN 1950,BEL,2,,Berlin (GER),28 SEP 1986,1095
2188,2:33:53,,Odile OHIER,19 NOV 1963,FRA,2,,Rouen (FRA),27 OCT 1991,1095
2188,2:33:53,,Svetlana SHEPELEVA-TKACH,10 MAY 1969,MDA,1,,"Duluth, MN (USA)",17 JUN 2000,1095
2188,2:33:53,,Doreen NDUKU KITAKA,1983,KEN,4,,St. Paul (USA),02 OCT 2011,1095
2188,2:33:53,,Natalia CERCHES,21 FEB 1976,MDA,1,,Linz (AUT),21 APR 2013,1095
2188,2:33:53,,Damaris AREBA,1995,KEN,4,,"Philadelphia, PA (USA)",19 NOV 2022,1095
2194,2:33:54,,Małgorzata KOWALEWICZ-BIRBACH,17 FEB 1960,POL,3,,Berlin (GER),09 OCT 1988,1095
2194,2:33:54,,Martha TENORIO,06 AUG 1966,ECU,25,,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,1095
2194,2:33:54,,Saori NEJO,16 MAY 1982,JPN,11,,Osaka (JPN),31 JAN 2010,1095
2194,2:33:54,,Bye-ol AHN,16 MAR 1990,KOR,11,,Seoul (KOR),18 MAR 2018,1095
2198,2:33:55,,Annick LOIR,13 JAN 1958,FRA,1,,Sydney (AUS),12 JUN 1983,1094
2198,2:33:55,,Inga ABITOVA,06 MAR 1982,RUS,2,,Mumbai (IND),15 JAN 2006,1094
2198,2:33:55,,Satoko UETANI,02 MAY 1981,JPN,3,,Sapporo (JPN),30 AUG 2009,1094
