Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1876,2:32:41,,Brittney FEIVOR,17 OCT 1994,USA,6,,"Houston, TX (USA)",16 JAN 2022,1106
1878,2:32:42,,Xiu-xia LI,08 SEP 1967,CHN,4,,Tianjin (CHN),29 MAR 1987,1106
1878,2:32:42,,Mary ALICO,18 MAY 1963,USA,1,,"Duluth, MN (USA)",22 JUN 1996,1106
1878,2:32:42,,Lili YIN,11 NOV 1979,CHN,1,,Dalian (CHN),27 OCT 1996,1106
1878,2:32:42,,Miki TANAKA,16 FEB 1974,JPN,12,,Nagoya (JPN),09 MAR 1997,1106
1878,2:32:42,,Stephanie PEZZULLO,29 MAY 1982,USA,8,,"Chicago, IL (USA)",07 OCT 2012,1106
1878,2:32:42,,Yevdokiya BUKINA,10 FEB 1993,RUS,5,,Volgograd (RUS),30 APR 2018,1106
1884,2:32:43,,Shoko SHIMIZU,13 OCT 1990,JPN,11,,Tokyo (JPN),24 FEB 2013,1106
1884,2:32:43,,Bo-ra CHOI,15 JUL 1991,KOR,6,,Seoul (KOR),16 MAR 2014,1106
1884,2:32:43,,Abebu GELAN,18 JAN 1990,ETH,4,,Wuxi (CHN),19 MAR 2017,1106
1887,2:32:44,,Aimi HORIKOSHI,22 NOV 1987,JPN,9,,Nagoya (JPN),14 MAR 2010,1106
1887,2:32:44,,Aleksandra MOROZOVA,27 FEB 1990,RUS,5,,Stockholm (SWE),09 OCT 2021,1106
1887,2:32:44,,Gete DUKALE,,ETH,7,,Rabat (MAR),21 APR 2024,1106
1890,2:32:45,,Michaela REGER,21 FEB 1969,GER,1,,"Sacramento, CA (USA)",03 DEC 1995,1106
1890,2:32:45,,Chris JUNKERMAN,1972,USA,7,,"Chicago, IL (USA)",22 OCT 2000,1106
1890,2:32:45,,Hayley CARRUTHERS,20 APR 1993,GBR,18,,Valencia (ESP),01 DEC 2019,1106
1890,2:32:45,,Birhan MULUGOJAM,,ETH,9,,Mumbai (IND),21 JAN 2024,1106
1890,2:32:45,,Sharon JEMUTAI,02 MAY 1998,KEN,8,,Rabat (MAR),21 APR 2024,1106
1895,2:32:46,,Nora Leticia ROCHA,18 DEC 1967,MEX,1,,Torreón (MEX),03 MAR 2002,1106
1895,2:32:46,,Cruz Nonata DA SILVA,18 AUG 1974,BRA,7,,Wien (AUT),15 APR 2012,1106
1895,2:32:46,,Mei MATSUYAMA,27 JUN 1992,JPN,23,,Nagoya (JPN),10 MAR 2019,1106
1895,2:32:46,,Cecilia Michael WAYUA,22 NOV 1993,KEN,5,,Taiyuan (CHN),08 SEP 2019,1106
1899,2:32:47,,Gladys Kerubo OTERO,06 DEC 1987,KEN,2,,Hannover (GER),02 MAY 2010,1105
1900,2:32:48,,Zenash GEZMU,1990,ETH,6,,Amsterdam (NED),16 OCT 2016,1105
