Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1938,2:32:57,,Sue MALAXOS,30 DEC 1961,AUS,14,,Osaka (JPN),28 JAN 1996,1104
1938,2:32:57,,Albertina MACHADO,25 DEC 1961,POR,6,,Paris (FRA),21 APR 1996,1104
1938,2:32:57,,Vanesa VEIGA,20 JUL 1979,ESP,2,,Castellón (ESP),18 DEC 2011,1104
1944,2:32:58,,Gwyn COOGAN,21 AUG 1965,USA,1,,St. Paul (USA),08 OCT 1995,1104
1944,2:32:58,,Leah JEROTICH,30 DEC 1987,KEN,2,,Buenos Aires (ARG),23 SEP 2018,1104
1946,2:32:59,,Petra WASSILUK,27 OCT 1969,GER,4,,Frankfurt (GER),28 OCT 2001,1103
1946,2:32:59,,Zefre WORKU,1983,ETH,1,,La Rochelle (FRA),25 NOV 2012,1103
1948,2:33:00,,Anne-Marie MALONE,28 JUL 1960,CAN,2,,Ottawa (CAN),13 MAY 1984,1103
1948,2:33:00,,Olga LOGINOVA,18 DEC 1969,RUS,2,,Paris (FRA),24 APR 1994,1103
1948,2:33:00,,Suzanna CIRIĆ,12 JUL 1969,YUG,1,,Hannover (GER),29 MAY 1994,1103
1948,2:33:00,,Masayo KOBAYASHI,04 FEB 1980,JPN,2,,Sapporo (JPN),09 SEP 2007,1103
1948,2:33:00,,Edyta LEWANDOWSKA,22 NOV 1980,POL,7,,Berlin (GER),28 SEP 2008,1103
1948,2:33:00,,Amane Seid CHEWO,,ETH,2,,Madrid (ESP),26 APR 2009,1103
1948,2:33:00,,Shelmith NYAWIRA,02 NOV 1984,KEN,1,,Las Palmas (ESP),27 JAN 2019,1103
1955,2:33:01,,Jane WELZEL,24 APR 1955,USA,1,,"Duluth, MN (USA)",20 JUN 1992,1103
1955,2:33:01,,Elisabeth KRIEG,14 MAR 1961,SUI,2,,Hannover (GER),29 MAY 1994,1103
1955,2:33:01,,Shizue TAKEDA,04 MAY 1976,JPN,14,,Nagoya (JPN),08 MAR 1998,1103
1955,2:33:01,,Olga BYLINKINA,23 OCT 1973,RUS,1,,Moskva (RUS),16 MAY 2004,1103
1955,2:33:01,,Natalya SERGEYEVA,04 SEP 1984,RUS,8,,Paris (FRA),15 APR 2012,1103
1955,2:33:01,,Cassie FIEN,15 SEP 1985,AUS,14,,Osaka (JPN),29 JAN 2017,1103
1955,2:33:01,,Ako MATSUMOTO,06 JUN 1999,JPN,18,,Nagoya (JPN),08 MAR 2020,1103
1962,2:33:02,,Valentina USTINOVA,28 MAR 1957,URS,4,,Uzhgorod (URS),07 OCT 1986,1103
1962,2:33:02,,Yakeo HENMI,14 JUN 1977,JPN,11,,Osaka (JPN),25 JAN 1998,1103
1962,2:33:02,,Anna HOLM JØRGENSEN,29 DEC 1987,DEN,11,,Frankfurt (GER),29 OCT 2017,1103
1965,2:33:03,,Paola MORO,14 AUG 1952,ITA,1,,Milano (ITA),28 APR 1984,1103
1965,2:33:03,,Ingmarie NILSSON,26 JAN 1966,SWE,1,,Stockholm (SWE),10 JUN 1995,1103
1965,2:33:03,,Olena FADEEVA,23 JUN 1966,UKR,1,,Linz (AUT),06 APR 2003,1103
1965,2:33:03,,Becky WADE,09 FEB 1989,USA,12,,Toronto (CAN),20 OCT 2019,1103
1969,2:33:04,,Sheila CATFORD,29 AUG 1960,GBR,11,,London (GBR),23 APR 1989,1103
1969,2:33:04,,Kate LANDAU,13 SEP 1976,USA,15,,"New York, NY (USA)",03 NOV 2019,1103
1971,2:33:05,,Linda MILO,09 JUL 1960,BEL,1,,Echternach (LUX),22 OCT 1995,1102
1971,2:33:05,,Anke LAWS,03 FEB 1975,GER,3,,Hamburg (GER),25 APR 1999,1102
1971,2:33:05,,Yuka IZUMI,18 JAN 1985,JPN,8,,Yokohama (JPN),20 FEB 2011,1102
1971,2:33:05,,Joyce KANDIE,30 MAY 1979,KEN,3,,Hamburg (GER),22 MAY 2011,1102
1971,2:33:05,,Rose Jepchoge MARU,15 AUG 1987,KEN,1,,Münster (GER),10 SEP 2017,1102
1971,2:33:05,,Adanech MEKONNEN,1997,ETH,3,,Padova (ITA),21 APR 2024,1102
1977,2:33:06,,Ko-eun PARK,11 APR 1976,KOR,1,,Seoul (KOR),19 MAR 2000,1102
1977,2:33:06,,Maria COCCHETTI,19 JUN 1966,ITA,1,,Roma (ITA),24 MAR 2002,1102
1977,2:33:06,,Paige HIGGINS,12 JUL 1982,USA,8,,"Chicago, IL (USA)",12 OCT 2008,1102
1977,2:33:06,,Hiroko SHOI,18 JUN 1980,JPN,15,,Nagoya (JPN),09 MAR 2014,1102
1981,2:33:07,,Nicky MORRIS,13 MAR 1962,GBR,15,,London (GBR),22 APR 1990,1102
1981,2:33:07,,Noriko WADA,20 MAY 1975,JPN,2,,Sydney (AUS),06 SEP 1998,1102
1981,2:33:07,,Sharon TAVENGWA,18 APR 1982,ZIM,4,,Eindhoven (NED),10 OCT 2010,1102
1981,2:33:07,,Maurine RICOUR,27 SEP 1991,BEL,4,,Eindhoven (NED),08 OCT 2023,1102
1985,2:33:08,,Marie Helene OHIER,24 FEB 1961,FRA,3,,Paris (FRA),29 MAR 1992,1102
1985,2:33:08,,Wei XIN,,CHN,14,,Beijing (CHN),13 OCT 2002,1102
1985,2:33:08,,Sainan XIE,03 NOV 1986,CHN,1,,Hangzhou (CHN),11 NOV 2007,1102
1985,2:33:08,,Sara MAKERA,30 DEC 1987,TAN,2,,Düsseldorf (GER),30 APR 2017,1102
1985,2:33:08,,Christina WELSH,,USA,8,,"Houston, TX (USA)",16 JAN 2022,1102
1985,2:33:08,,Demitu HAWAS,,ETH,1,,Zürich (SUI),10 APR 2022,1102
1991,2:33:09,,Guo PING,11 SEP 1977,CHN,5,,Dalian (CHN),26 OCT 1997,1102
1991,2:33:09,,Irene Kwambai KIPCHUMBA,25 OCT 1978,KEN,2,,Hannover (GER),08 MAY 2011,1102
1991,2:33:09,,Alina ARMAS,10 DEC 1983,NAM,4,,Mungyeong (KOR),11 OCT 2015,1102
1991,2:33:09,,Nami HASHIMOTO,08 AUG 1991,JPN,19,,Nagoya (JPN),08 MAR 2020,1102
1991,2:33:09,,Jessica WATYCHOWICZ,27 FEB 1991,USA,1,,"Minneapolis, MN (USA)",02 OCT 2022,1102
1991,2:33:09,,Giselle ÁLVAREZ,30 MAR 1992,CHI,23,,Sevilla (ESP),19 FEB 2023,1102
1991,2:33:09,,Amy DAVIS-GREEN,15 FEB 1997,USA,21,,"Orlando, FL (USA)",03 FEB 2024,1102
1998,2:33:10,,Gordon BAKOULIS,14 FEB 1961,USA,3,,St. Paul (USA),14 OCT 1990,1102
1998,2:33:10,,Shoko MIYAZAKI,11 NOV 1986,JPN,7,,Tokyo (JPN),27 FEB 2011,1102
1998,2:33:10,,Rim YON HUI,29 OCT 1988,PRK,4,,Pyongyang (PRK),08 APR 2012,1102
