Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
28,2:03:48,Dawit Wolde,ETH,19 MAY 1991,3,Valencia (ESP),03 DEC 2023,Men,Marathon
28,2:18:04,Joan Chelimo Melly,ROU,10 NOV 1990,1,Seoul (KOR),17 APR 2022,Women,Marathon
29,2:03:51,Stanley Kipleting Biwott,KEN,21 APR 1986,2,London (GBR),24 APR 2016,Men,Marathon
29,2:03:51,Kinde Atanaw,ETH,15 APR 1993,1,Valencia (ESP),01 DEC 2019,Men,Marathon
29,2:18:05,Genzebe Dibaba,ETH,08 FEB 1991,2,Amsterdam (NED),16 OCT 2022,Women,Marathon
30,2:18:09,Ruti Aga,ETH,16 JAN 1994,1,Dongying (CHN),22 OCT 2023,Women,Marathon
31,2:18:11,Gotytom Gebreslase,ETH,15 JAN 1995,1,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,Women,Marathon
31,2:18:11,Gladys Cherono,KEN,12 MAY 1983,1,Berlin (GER),16 SEP 2018,Women,Marathon
31,2:03:55,Reuben Kiprop Kipyego,KEN,21 AUG 1996,1,Milano (ITA),16 MAY 2021,Men,Marathon
31,2:18:11,Fancy Chemutai,KEN,20 MAR 1995,5,Valencia (ESP),04 DEC 2022,Women,Marathon
32,2:03:59,Haile Gebrselassie,ETH,18 APR 1973,1,Berlin (GER),28 SEP 2008,Men,Marathon
33,2:04:02,Leul Gebresilase,ETH,20 SEP 1992,2,Dubai (UAE),26 JAN 2018,Men,Marathon
34,2:18:20,Judith Jeptum Korir,KEN,12 DEC 1995,2,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,Women,Marathon
34,2:04:04,Marius Kipserem,KEN,17 MAY 1988,2,Rotterdam (NED),24 OCT 2021,Men,Marathon
35,2:18:21,Meseret Belete,ETH,16 SEP 1999,1,Amsterdam (NED),15 OCT 2023,Women,Marathon
35,2:04:06,Asefa Mengstu,ETH,22 JAN 1988,4,Dubai (UAE),26 JAN 2018,Men,Marathon
36,2:18:22,Irine Chepet Cheptai,KEN,04 FEB 1992,1,Hamburg (GER),28 APR 2024,Women,Marathon
36,2:04:09,Bernard Kiprop Koech,KEN,31 JAN 1988,2,Amsterdam (NED),17 OCT 2021,Men,Marathon
37,2:18:25,Winfridah Moraa Moseti,KEN,10 FEB 1996,2,Hamburg (GER),28 APR 2024,Women,Marathon
37,2:04:15,Geoffrey Mutai,KEN,07 OCT 1981,1,Berlin (GER),30 SEP 2012,Men,Marathon
38,2:18:29,Emily Sisson,USA,12 OCT 1991,2,"Chicago, IL (USA)",09 OCT 2022,Women,Marathon
38,2:04:16,Kaan Kigen Özbilen,TUR,15 JAN 1986,2,Valencia (ESP),01 DEC 2019,Men,Marathon
39,2:04:17,Barnabas Kiptum,KEN,08 DEC 1986,2,Milano (ITA),16 MAY 2021,Men,Marathon
39,2:18:30,Roza Dereje,ETH,09 MAY 1997,1,Valencia (ESP),01 DEC 2019,Women,Marathon
40,2:04:18,Joshua Belet,KEN,10 FEB 1998,1,Amsterdam (NED),15 OCT 2023,Men,Marathon
40,2:18:31,Vivian Jepkemei Cheruiyot,KEN,11 SEP 1983,1,London (GBR),22 APR 2018,Women,Marathon
41,2:04:21,Elisha Rotich,KEN,12 APR 1990,1,Paris (FRA),17 OCT 2021,Men,Marathon
41,2:18:33,Azmera Abreha,ETH,31 JAN 1998,2,Valencia (ESP),01 DEC 2019,Women,Marathon
42,2:04:22,Ronald Korir,KEN,10 APR 1991,4,Berlin (GER),24 SEP 2023,Men,Marathon
42,2:18:35,Birhane Dibaba,ETH,11 SEP 1993,2,Tokyo (JPN),01 MAR 2020,Women,Marathon
43,2:04:23,Ayele Abshero,ETH,28 DEC 1990,1,Dubai (UAE),27 JAN 2012,Men,Marathon
43,2:04:23,Geoffrey Kamworor,KEN,22 NOV 1992,2,London (GBR),23 APR 2023,Men,Marathon
43,2:18:41,Magdalena Shauri,TAN,25 FEB 1996,3,Berlin (GER),24 SEP 2023,Women,Marathon
44,2:18:47,Tiruye Mesfin,ETH,11 SEP 2002,6,Valencia (ESP),04 DEC 2022,Women,Marathon
44,2:18:47,Catherine Ndereba,KEN,21 JUL 1972,1,"Chicago, IL (USA)",07 OCT 2001,Women,Marathon
45,2:04:24,Tesfaye Abera,ETH,31 MAR 1992,1,Dubai (UAE),22 JAN 2016,Men,Marathon
46,2:18:51,Workenesh Edesa,ETH,11 SEP 1992,4,Berlin (GER),25 SEP 2022,Women,Marathon
46,2:04:27,James Kipsang Kwambai,KEN,28 FEB 1983,2,Rotterdam (NED),05 APR 2009,Men,Marathon
46,2:04:27,Duncan Kibet,KEN,25 APR 1978,1,Rotterdam (NED),05 APR 2009,Men,Marathon
47,2:18:52,Tigist Girma,ETH,12 JUL 1993,7,Valencia (ESP),04 DEC 2022,Women,Marathon
48,2:04:28,Vincent Kipchumba,KEN,03 AUG 1990,2,London (GBR),03 OCT 2021,Men,Marathon
48,2:04:28,Sammy Kitwara,KEN,26 NOV 1986,2,"Chicago, IL (USA)",12 OCT 2014,Men,Marathon
48,2:18:58,Tiki Gelana,ETH,22 OCT 1987,1,Rotterdam (NED),15 APR 2012,Women,Marathon
49,2:18:59,Honami Maeda,JPN,17 JUL 1996,2,Osaka (JPN),28 JAN 2024,Women,Marathon
50,2:19:07,Zeineba Yimer,ETH,17 JUN 1998,4,Berlin (GER),24 SEP 2023,Women,Marathon
50,2:04:29,Seifu Tura,ETH,19 JUN 1997,3,Milano (ITA),16 MAY 2021,Men,Marathon
51,2:04:32,Tsegaye Mekonnen,ETH,15 JUN 1995,1,Dubai (UAE),24 JAN 2014,Men,Marathon
51,2:04:32,Dickson Chumba,KEN,27 OCT 1986,3,"Chicago, IL (USA)",12 OCT 2014,Men,Marathon
51,2:04:32,Jonathan Kipleting Korir,KEN,20 NOV 1986,4,Amsterdam (NED),17 OCT 2021,Men,Marathon
51,2:19:10,Valary Jemeli,KEN,08 JUN 1991,1,Frankfurt (GER),27 OCT 2019,Women,Marathon
52,2:19:12,Keira D'Amato,USA,21 OCT 1984,1,"Houston, TX (USA)",16 JAN 2022,Women,Marathon
52,2:19:12,Mizuki Noguchi,JPN,03 JUL 1978,1,Berlin (GER),25 SEP 2005,Women,Marathon
54,2:04:33,Lemi Berhanu,ETH,13 SEP 1994,2,Dubai (UAE),22 JAN 2016,Men,Marathon
54,2:19:17,Betsy Saina,USA,30 JUN 1988,5,Tokyo (JPN),03 MAR 2024,Women,Marathon
55,2:04:34,Cybrian Kotut,KEN,06 JUN 1992,2,Amsterdam (NED),15 OCT 2023,Men,Marathon
55,2:19:19,Irina Mikitenko,GER,23 AUG 1972,1,Berlin (GER),28 SEP 2008,Women,Marathon
56,2:04:35,Hiskel Tewelde,ERI,15 SEP 1986,5,Amsterdam (NED),17 OCT 2021,Men,Marathon
56,2:19:21,Senbere Teferi,ETH,03 MAY 1995,5,Berlin (GER),24 SEP 2023,Women,Marathon
57,2:19:24,Dera Dida,ETH,26 OCT 1996,6,Berlin (GER),24 SEP 2023,Women,Marathon
57,2:19:24,Hitomi Niiya,JPN,26 FEB 1988,1,"Houston, TX (USA)",15 JAN 2023,Women,Marathon
57,2:04:37,Bethwel Kibet,KEN,04 AUG 1991,3,Amsterdam (NED),15 OCT 2023,Men,Marathon
58,2:04:38,Tsegaye Kebede,ETH,15 JAN 1987,1,"Chicago, IL (USA)",07 OCT 2012,Men,Marathon
59,2:19:27,Buzunesh Getachew,ETH,18 APR 1997,1,Frankfurt (GER),29 OCT 2023,Women,Marathon
59,2:04:40,Solomon Deksisa,ETH,11 MAR 1994,3,Amsterdam (NED),21 OCT 2018,Men,Marathon
60,2:19:30,Boru Feyse Tadese,ETH,19 NOV 1988,2,Dubai (UAE),26 JAN 2018,Women,Marathon
60,2:04:41,Hailemaryam Kiros,ETH,05 FEB 1997,2,Paris (FRA),17 OCT 2021,Men,Marathon
61,2:19:31,Asselefech Medessa Mergia,ETH,23 JAN 1985,1,Dubai (UAE),27 JAN 2012,Women,Marathon
61,2:19:31,Nancy Jelagat,KEN,1986,1,Valencia (ESP),05 DEC 2021,Women,Marathon
61,2:04:42,Haftu Teklu,ETH,21 JAN 2000,5,Berlin (GER),24 SEP 2023,Men,Marathon
62,2:04:43,Asrar Hiyrden,ETH,25 NOV 1999,1,Sevilla (ESP),20 FEB 2022,Men,Marathon
62,2:04:43,El Hassan El Abbassi,BRN,13 APR 1984,2,Valencia (ESP),02 DEC 2018,Men,Marathon
63,2:19:33,Rahma Tusa,ETH,14 SEP 1993,1,"Houston, TX (USA)",14 JAN 2024,Women,Marathon
64,2:04:44,Hillary Kipsambu,KEN,04 FEB 1985,3,Paris (FRA),17 OCT 2021,Men,Marathon
64,2:04:44,Andualem Belay,ETH,05 APR 1992,6,Berlin (GER),24 SEP 2023,Men,Marathon
64,2:19:34,Lucy Kabuu Wangui,KEN,24 MAR 1984,2,Dubai (UAE),27 JAN 2012,Women,Marathon
65,2:19:36,Yebrgual Melese,ETH,18 APR 1990,3,Dubai (UAE),26 JAN 2018,Women,Marathon
65,2:19:36,Deena Kastor,USA,14 FEB 1973,1,London (GBR),23 APR 2006,Women,Marathon
66,2:04:45,Abdi Nageeye,NED,02 MAR 1989,1,Rotterdam (NED),14 APR 2024,Men,Marathon
66,2:04:45,Lelisa Desisa,ETH,14 JAN 1990,1,Dubai (UAE),25 JAN 2013,Men,Marathon
67,2:19:39,Yingjie Sun,CHN,19 JAN 1979,1,Beijing (CHN),19 OCT 2003,Women,Marathon
68,2:04:46,Mekuant Ayenew,ETH,24 OCT 1991,1,Sevilla (ESP),23 FEB 2020,Men,Marathon
68,2:04:46,Titus Ekiru,KEN,02 JAN 1992,1,Milano (ITA),07 APR 2019,Men,Marathon
68,2:19:41,Tirfi Tsegaye,ETH,25 NOV 1984,1,Dubai (UAE),22 JAN 2016,Women,Marathon
68,2:19:41,Yoko Shibui,JPN,14 MAR 1979,1,Berlin (GER),26 SEP 2004,Women,Marathon
70,2:19:44,Florence Kiplagat,KEN,27 FEB 1987,1,Berlin (GER),25 SEP 2011,Women,Marathon
70,2:04:48,Barselius Kipyego,KEN,22 JUL 1993,4,Paris (FRA),17 OCT 2021,Men,Marathon
70,2:04:48,Kibiwott Kandie,KEN,20 JUN 1996,6,Valencia (ESP),03 DEC 2023,Men,Marathon
70,2:04:48,Stephen Kissa,UGA,01 DEC 1988,2,Hamburg (GER),24 APR 2022,Men,Marathon
70,2:19:44,Helen Bekele,ETH,21 NOV 1994,8,Berlin (GER),24 SEP 2023,Women,Marathon
70,2:04:48,Berhanu Shiferaw,ETH,31 MAY 1993,2,Dubai (UAE),25 JAN 2013,Men,Marathon
70,2:04:48,Yemane Tsegay,ETH,08 APR 1985,1,Rotterdam (NED),15 APR 2012,Men,Marathon
72,2:19:46,Naoko Takahashi,JPN,06 MAY 1972,1,Berlin (GER),30 SEP 2001,Women,Marathon
73,2:19:47,Sarah Chepchirchir,KEN,27 JUL 1984,1,Tokyo (JPN),26 FEB 2017,Women,Marathon
74,2:19:50,Edna Ngeringwony Kiplagat,KEN,15 NOV 1979,2,London (GBR),22 APR 2012,Women,Marathon
74,2:19:50,Meseret Abebayahau,ETH,28 JUN 1998,2,Amsterdam (NED),15 OCT 2023,Women,Marathon
75,2:04:49,Shura Kitata,ETH,09 JUN 1996,2,London (GBR),22 APR 2018,Men,Marathon
75,2:04:49,Tadesse Tola,ETH,31 OCT 1987,3,Dubai (UAE),25 JAN 2013,Men,Marathon
75,2:04:49,Tsegaye Getachew,ETH,30 NOV 1996,1,Amsterdam (NED),16 OCT 2022,Men,Marathon
76,2:19:51,Chunxiu Zhou,CHN,15 NOV 1978,1,Seoul (KOR),12 MAR 2006,Women,Marathon
77,2:19:52,Mare Dibaba,ETH,20 OCT 1989,3,Dubai (UAE),27 JAN 2012,Women,Marathon
77,2:19:52,Helalia Johannes,NAM,13 AUG 1980,3,Valencia (ESP),06 DEC 2020,Women,Marathon
78,2:04:50,Dino Sefir,ETH,28 MAY 1988,2,Dubai (UAE),27 JAN 2012,Men,Marathon
78,2:04:50,Getu Feleke,ETH,28 NOV 1986,2,Rotterdam (NED),15 APR 2012,Men,Marathon
78,2:04:50,Amedework Walelegn,ETH,11 MAR 1999,2,Rotterdam (NED),14 APR 2024,Men,Marathon
79,2:19:55,Vicoty Chepngeno,KEN,12 NOV 1993,2,"Houston, TX (USA)",14 JAN 2024,Women,Marathon
80,2:19:57,Rita Jeptoo Sitienei,KEN,15 FEB 1981,1,"Chicago, IL (USA)",13 OCT 2013,Women,Marathon
81,2:20:02,Dorcas Jepchirchir Tuitoek,KEN,31 JAN 1998,3,Amsterdam (NED),15 OCT 2023,Women,Marathon
81,2:20:02,Eunice Chebichii Chumba,BRN,23 MAY 1993,3,Seoul (KOR),17 APR 2022,Women,Marathon
81,2:04:51,Abebe Negewo,ETH,20 MAY 1984,4,Valencia (ESP),01 DEC 2019,Men,Marathon
81,2:04:51,Daniel Do Nascimento,BRA,28 JUL 1998,3,Seoul (KOR),17 APR 2022,Men,Marathon
83,2:20:03,Etagegne Woldu,ETH,10 MAY 1996,8,Valencia (ESP),04 DEC 2022,Women,Marathon
83,2:04:52,Kenneth Kiprop Kipkemoi,KEN,02 AUG 1984,1,Eindhoven (NED),08 OCT 2023,Men,Marathon
83,2:04:52,Feyisa Lilesa,ETH,01 FEB 1990,2,"Chicago, IL (USA)",07 OCT 2012,Men,Marathon
83,2:04:52,Endeshaw Negesse,ETH,13 MAR 1988,4,Dubai (UAE),25 JAN 2013,Men,Marathon
83,2:20:03,Selly Chepyego Kaptich,KEN,03 OCT 1985,2,Barcelona (ESP),19 MAR 2023,Women,Marathon
85,2:20:10,Celestine Chepchirchir,KEN,18 DEC 1995,4,Seoul (KOR),17 APR 2022,Women,Marathon
86,2:04:53,Mathew Kipkoech Kisorio,KEN,16 MAY 1989,3,Valencia (ESP),02 DEC 2018,Men,Marathon
86,2:20:11,Gutemi Shone Imana,ETH,17 NOV 1991,2,Dubai (UAE),24 JAN 2020,Women,Marathon
86,2:04:53,Chalu Deso,ETH,14 DEC 1997,6,Valencia (ESP),06 DEC 2020,Men,Marathon
86,2:04:53,Gashau Ayale,ISR,22 AUG 1996,3,Sevilla (ESP),18 FEB 2024,Men,Marathon
86,2:04:53,Brimin Kipkorir,KEN,1989,1,Frankfurt (GER),29 OCT 2023,Men,Marathon
86,2:04:53,Abayneh Degu,ETH,01 DEC 1998,5,Paris (FRA),17 OCT 2021,Men,Marathon
87,2:20:13,Haftamnesh Tesfaye,ETH,28 APR 1994,5,Dubai (UAE),26 JAN 2018,Women,Marathon
88,2:20:14,Purity Cherotich Rionoripo,KEN,10 JUN 1993,1,Praha (CZE),30 MAY 2021,Women,Marathon
88,2:20:14,Prisca Jeptoo,KEN,24 JUN 1984,3,London (GBR),22 APR 2012,Women,Marathon
90,2:20:18,Vivian Kiplagat,KEN,09 NOV 1991,1,Milano (ITA),03 APR 2022,Women,Marathon
90,2:20:18,Maurine Chepkemoi,KEN,24 MAY 1998,2,Amsterdam (NED),17 OCT 2021,Women,Marathon
91,2:04:54,Titus Kipruto,KEN,25 JUN 1998,2,Amsterdam (NED),16 OCT 2022,Men,Marathon
91,2:04:54,Markos Geneti,ETH,07 JUN 1984,3,Dubai (UAE),27 JAN 2012,Men,Marathon
92,2:20:19,Haven Hailu Desse,ETH,10 SEP 1998,3,Amsterdam (NED),17 OCT 2021,Women,Marathon
93,2:04:55,Paul Tergat,KEN,17 JUN 1969,1,Berlin (GER),28 SEP 2003,Men,Marathon
93,2:20:22,Mary Wacera Ngugi,KEN,17 DEC 1988,7,London (GBR),02 OCT 2022,Women,Marathon
94,2:20:23,Stella Chesang,UGA,01 DEC 1996,3,Hamburg (GER),23 APR 2023,Women,Marathon
94,2:04:56,Sammy Kipchoge Korir,KEN,12 DEC 1971,2,Berlin (GER),28 SEP 2003,Men,Marathon
94,2:04:56,Jonathan Maiyo,KEN,05 MAY 1988,4,Dubai (UAE),27 JAN 2012,Men,Marathon
94,2:04:56,Kengo Suzuki,JPN,11 JUN 1995,1,Otsu (JPN),28 FEB 2021,Men,Marathon
94,2:04:56,Philemon Kiplimo,KEN,10 OCT 1998,8,Berlin (GER),24 SEP 2023,Men,Marathon
95,2:20:29,Mao Ichiyama,JPN,29 MAY 1997,1,Nagoya (JPN),08 MAR 2020,Women,Marathon
95,2:20:29,Jackline Chelal,KEN,1992,1,Sevilla (ESP),19 FEB 2023,Women,Marathon
95,2:20:29,Nazret Weldu,ERI,01 JAN 1990,4,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,Women,Marathon
98,2:04:57,Bazezew Asmare,ETH,11 SEP 1996,3,Amsterdam (NED),16 OCT 2022,Men,Marathon
98,2:20:30,Bezunesh Bekele,ETH,29 JAN 1983,4,Dubai (UAE),27 JAN 2012,Women,Marathon
98,2:20:30,Aberu Kebede,ETH,12 SEP 1986,1,Berlin (GER),30 SEP 2012,Women,Marathon
99,2:04:58,Amanal Petros,GER,17 MAY 1995,9,Berlin (GER),24 SEP 2023,Men,Marathon
100,2:20:32,Sara Hall,USA,15 APR 1983,1,"Chandler, AZ (USA)",20 DEC 2020,Women,Marathon
100,2:04:59,Gadisa Birhanu,ETH,15 SEP 1992,1,Sevilla (ESP),19 FEB 2023,Men,Marathon
101,2:20:36,Meskerem Assefa,ETH,03 OCT 1991,1,Frankfurt (GER),28 OCT 2018,Women,Marathon
101,2:05:00,Philemon Rono,KEN,08 FEB 1991,1,Toronto (CAN),20 OCT 2019,Men,Marathon
102,2:05:01,Addisu Gobena,ETH,20 OCT 2004,1,Dubai (UAE),07 JAN 2024,Men,Marathon
102,2:05:01,Nicholas Kirwa,KEN,16 JUN 1994,6,Milano (ITA),16 MAY 2021,Men,Marathon
102,2:20:40,Dolshi Tesfu,ERI,17 JUN 1999,9,Valencia (ESP),04 DEC 2022,Women,Marathon
102,2:05:01,John Korir,KEN,02 DEC 1996,3,"Chicago, IL (USA)",09 OCT 2022,Men,Marathon
102,2:05:01,Tadesse Abraham,SUI,12 AUG 1982,1,Barcelona (ESP),10 MAR 2024,Men,Marathon
103,2:20:42,Berhane Adere,ETH,23 NOV 1973,1,"Chicago, IL (USA)",22 OCT 2006,Women,Marathon
104,2:20:43,Tegla Loroupe,KEN,09 MAY 1973,1,Berlin (GER),26 SEP 1999,Women,Marathon
105,2:20:45,Gelete Burka,ETH,23 JAN 1986,6,Dubai (UAE),26 JAN 2018,Women,Marathon
105,2:20:45,Mestawut Fikir,ETH,02 MAR 2000,1,Paris (FRA),07 APR 2024,Women,Marathon
106,2:05:02,Emmanuel Saina,KEN,06 SEP 1992,4,Dubai (UAE),25 JAN 2019,Men,Marathon
107,2:20:47,Desi Jisa Mokonin,BRN,12 JUL 1997,2,Doha (QAT),20 JAN 2023,Women,Marathon
107,2:20:47,Galina Bogomolova,RUS,15 OCT 1977,2,"Chicago, IL (USA)",22 OCT 2006,Women,Marathon
107,2:05:03,Moses Mosop,KEN,07 JUL 1985,3,Rotterdam (NED),15 APR 2012,Men,Marathon
108,2:05:04,Abraham Kiptoo,KEN,16 JUL 1999,4,Amsterdam (NED),16 OCT 2022,Men,Marathon
108,2:05:04,Abel Kirui,KEN,06 APR 1982,3,Rotterdam (NED),05 APR 2009,Men,Marathon
109,2:20:48,Jemima Jelagat Sumgong,KEN,21 DEC 1984,2,"Chicago, IL (USA)",13 OCT 2013,Women,Marathon
109,2:20:48,Azmera Gebru,ETH,31 OCT 1995,3,Amsterdam (NED),20 OCT 2019,Women,Marathon
109,2:20:48,Enatnesh Alamrew Tirusew,ETH,1995,2,Paris (FRA),07 APR 2024,Women,Marathon
110,2:05:05,Boniface Kimutai,KEN,12 AUG 1995,10,Berlin (GER),24 SEP 2023,Men,Marathon
110,2:05:05,Mohamed Esa,ETH,11 SEP 2000,5,Amsterdam (NED),16 OCT 2022,Men,Marathon
112,2:05:06,Marius Kimutai,BRN,10 DEC 1992,1,Barcelona (ESP),19 MAR 2023,Men,Marathon
112,2:20:49,Delvine Relin Meringor,ROU,01 AUG 1992,3,Barcelona (ESP),19 MAR 2023,Women,Marathon
113,2:20:50,Sisay Meseret Gola,ETH,30 DEC 1997,2,Sevilla (ESP),20 FEB 2022,Women,Marathon
113,2:05:07,Workineh Tadese,ETH,13 DEC 2000,3,Hamburg (GER),24 APR 2022,Men,Marathon
114,2:05:08,Samwel Nyamai Mailu,KEN,07 FEB 1993,1,Wien (AUT),23 APR 2023,Men,Marathon
114,2:20:51,Ababel Yeshaneh,ETH,22 JUL 1991,2,"Chicago, IL (USA)",13 OCT 2019,Women,Marathon
115,2:20:52,Mizuki Matsuda,JPN,31 MAY 1995,1,Osaka (JPN),30 JAN 2022,Women,Marathon
115,2:05:09,Morris Munene Gachaga,KEN,07 APR 1995,6,Paris (FRA),17 OCT 2021,Men,Marathon
115,2:05:09,Victor Kiplangat,UGA,10 NOV 1999,4,Hamburg (GER),24 APR 2022,Men,Marathon
116,2:20:57,Jordan Hasay,USA,21 SEP 1991,3,"Chicago, IL (USA)",08 OCT 2017,Women,Marathon
116,2:20:57,Viola Jelagat Kibiwot,KEN,22 DEC 1983,2,Rotterdam (NED),14 APR 2024,Women,Marathon
