Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
233,2:23:05,,Urge DIRO,16 JAN 1994,ETH,3,,Sevilla (ESP),19 FEB 2023,1202
236,2:23:06,,Merima MOHAMMED,10 JUN 1992,ETH,3,,Toronto (CAN),26 SEP 2010,1202
236,2:23:06,,Gulume CHALA,11 SEP 1992,ETH,3,,Paris (FRA),08 APR 2018,1202
238,2:23:07,,Hanami SEKINE,26 FEB 1996,JPN,3,,Nagoya (JPN),11 MAR 2018,1201
238,2:23:07,,Molly SEIDEL,12 JUL 1994,USA,8,,"Chicago, IL (USA)",08 OCT 2023,1201
240,2:23:08,,Momoko WATANABE,13 JUN 1998,JPN,3,,Osaka (JPN),26 FEB 2023,1201
240,2:23:08,,Genevieve GREGSON,04 AUG 1989,AUS,8,,Valencia (ESP),03 DEC 2023,1201
240,2:23:08,,Ruth JEBET,17 NOV 1996,BRN,1,,Mersin (TUR),10 DEC 2023,1201
243,2:23:09,,Ashu KASIM,20 OCT 1984,ETH,1,,Xiamen (CHN),07 JAN 2012,1201
243,2:23:09,,Rebbeca Sirwanei TANUI,16 JUN 1992,KEN,1,,San Sebastián (ESP),27 NOV 2022,1201
245,2:23:10,,Hellen OBIRI,13 DEC 1989,KEN,3,,"Stade de France, Paris (FRA)",11 AUG 2024,1201
246,2:23:11,,Mizuki TANIMOTO,18 DEC 1994,JPN,4,,Osaka (JPN),30 JAN 2022,1201
246,2:23:11,,Meseret GEBRE,17 FEB 1993,ETH,1,,Barcelona (ESP),08 MAY 2022,1201
246,2:23:11,,Buze DIRIBA,09 FEB 1994,ETH,1,,Toronto (CAN),15 OCT 2023,1201
249,2:23:12,,Yanan WEI,06 DEC 1981,CHN,1,,Seoul (KOR),18 MAR 2007,1201
249,2:23:12,,Mara YAMAUCHI,13 AUG 1973,GBR,2,,London (GBR),26 APR 2009,1201
249,2:23:12,,Dinknesh Mekash TEFERA,11 SEP 1985,ETH,2,,Frankfurt (GER),25 OCT 2015,1201
249,2:23:12,,Natasha WODAK,17 DEC 1981,CAN,12,,Berlin (GER),25 SEP 2022,1201
249,2:23:12,,Rose CHELIMO,12 JUL 1989,BRN,4,,Amsterdam (NED),16 OCT 2022,1201
254,2:23:13,,Juliet CHEKWEL,25 MAY 1990,UGA,1,,Sevilla (ESP),23 FEB 2020,1200
255,2:23:14,,Alemitu Abera BEGNA,1986,ETH,1,,"Houston, TX (USA)",15 JAN 2012,1200
255,2:23:14,,Kuftu TAHIR,13 OCT 1995,ETH,4,,Ljubljana (SLO),27 OCT 2019,1200
255,2:23:14,,Rodah JEPKORIR,25 APR 1991,KEN,1,,København (DEN),14 MAY 2023,1200
255,2:23:14,,Sharon LOKEDI,10 MAR 1994,KEN,4,,"Stade de France, Paris (FRA)",11 AUG 2024,1200
259,2:23:15,,Firehiwot Tesfaye DADO,09 JAN 1984,ETH,1,,"New York, NY (USA)",06 NOV 2011,1200
259,2:23:15,,Lisa WEIGHTMAN,16 JAN 1979,AUS,4,,Osaka (JPN),26 FEB 2023,1200
261,2:23:16,,Sofiia YAREMCHUK,03 JUN 1994,ITA,9,,Valencia (ESP),03 DEC 2023,1200
262,2:23:17,,Shujing ZHANG,13 SEP 1978,CHN,2,,Beijing (CHN),13 OCT 2002,1200
262,2:23:17,,Hirut TIBEBU,13 DEC 1994,ETH,4,,Nagoya (JPN),08 MAR 2020,1200
262,2:23:17,,Tigist GETNET,2003,ETH,5,,Dubai (UAE),12 FEB 2023,1200
265,2:23:18,,Emma BATES,08 JUL 1992,USA,7,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1200
265,2:23:18,,Derartu HAILU,08 MAY 2000,ETH,3,,Sevilla (ESP),18 FEB 2024,1200
267,2:23:19,,Bizunesh DEBA,08 SEP 1987,ETH,2,,"New York, NY (USA)",06 NOV 2011,1199
267,2:23:19,,Tomomi TANAKA,25 SEP 1988,JPN,2,,Nagoya (JPN),13 MAR 2016,1199
267,2:23:19,,Birke DEBELE,12 SEP 1995,ETH,4,,Toronto (CAN),20 OCT 2019,1199
270,2:23:20,,Rei OHARA,10 AUG 1990,JPN,3,,Nagoya (JPN),13 MAR 2016,1199
270,2:23:20,,Antonina KWAMBAI,01 APR 1992,KEN,1,,Toronto (CAN),16 OCT 2022,1199
270,2:23:20,,Betelihem AFENIGUS,29 APR 2001,ETH,4,,Seoul (KOR),17 MAR 2024,1199
273,2:23:21,,Rose HARVEY,25 AUG 1992,GBR,9,,"Chicago, IL (USA)",08 OCT 2023,1199
274,2:23:22,,Joyce CHEPCHUMBA,06 NOV 1970,KEN,1,,London (GBR),18 APR 1999,1199
274,2:23:22,,Salina Jebet KOSGEI,16 NOV 1976,KEN,2,,Berlin (GER),24 SEP 2006,1199
274,2:23:22,,Caroline ROTICH,13 MAY 1984,KEN,4,,"Chicago, IL (USA)",07 OCT 2012,1199
277,2:23:23,,Risa SHIGETOMO,29 AUG 1987,JPN,1,,Osaka (JPN),29 JAN 2012,1199
278,2:23:24,,Sara VAUGHN,16 MAY 1986,USA,10,,"Chicago, IL (USA)",08 OCT 2023,1199
279,2:23:26,,Hiromi OMINAMI,15 NOV 1975,JPN,2,,Berlin (GER),26 SEP 2004,1198
279,2:23:26,,Meseret MENGISTU,06 MAR 1990,ETH,1,,Paris (FRA),12 APR 2015,1198
279,2:23:26,,Agnes KEINO,17 JAN 1988,KEN,1,,München (GER),09 OCT 2022,1198
282,2:23:27,,Xue BAI,13 DEC 1988,CHN,2,,Xiamen (CHN),05 JAN 2008,1198
282,2:23:27,,Isobel BATT-DOYLE,14 SEP 1995,AUS,10,,Valencia (ESP),03 DEC 2023,1198
282,2:23:27,,Aminet AHMED,11 FEB 2000,ETH,5,,Hamburg (GER),28 APR 2024,1198
285,2:23:28,,Margaret AGAI,10 JUN 1988,KEN,1,,Daegu (KOR),14 APR 2013,1198
285,2:23:28,,Shasho INSERMU,16 SEP 1993,ETH,2,,Amsterdam (NED),21 OCT 2018,1198
287,2:23:29,,Rosa MOTA,29 JUN 1958,POR,3,,"Chicago, IL (USA)",20 OCT 1985,1198
287,2:23:29,,Tatyana PETROVA,08 APR 1983,RUS,3,,"Olympic Stadium, London (GBR)",05 AUG 2012,1198
287,2:23:29,,Askale MERACHI,04 JAN 1987,ETH,1,,"Houston, TX (USA)",19 JAN 2020,1198
290,2:23:30,,Mari OZAKI,16 JUL 1975,JPN,5,,Osaka (JPN),26 JAN 2003,1198
290,2:23:30,,Derartu TULU,21 MAR 1972,ETH,4,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1198
290,2:23:30,,Yoshimi OZAKI,01 JUL 1981,JPN,1,,Tokyo (JPN),16 NOV 2008,1198
290,2:23:30,,Racheal MUTGAA,12 DEC 1988,KEN,5,,Toronto (CAN),20 OCT 2019,1198
290,2:23:30,,Malindi ELMORE,13 MAR 1980,CAN,13,,Berlin (GER),24 SEP 2023,1198
295,2:23:31,,Esther Wanjiru MAINA,27 MAR 1977,KEN,3,,Osaka (JPN),30 JAN 2000,1197
296,2:23:32,,Olena SHURHNO,08 JAN 1978,UKR,3,,Berlin (GER),30 SEP 2012,1197
297,2:23:33,,Abebech AFEWORK,11 DEC 1990,ETH,8,,Dubai (UAE),23 JAN 2015,1197
297,2:23:33,,Meseret DEFAR,19 NOV 1983,ETH,4,,Nagoya (JPN),10 MAR 2019,1197
297,2:23:33,,Sofia ASSEFA,14 NOV 1987,ETH,8,,Amsterdam (NED),15 OCT 2023,1197
300,2:23:34,,Ryoko KIZAKI,21 JUN 1985,JPN,1,,Nagoya (JPN),10 MAR 2013,1197
