Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1843,2:32:08,Winfredah KEBASO,Women,Marathon,16 APR 1985,KEN,5,Saitama (JPN),15 NOV 2015
1843,2:32:08,Vitalyne JEMAIYO,Women,Marathon,28 AUG 1993,KEN,1,Brescia (ITA),10 MAR 2019
1843,2:32:08,Yuko KIKUCHI,Women,Marathon,08 JUN 1992,JPN,23,Nagoya (JPN),13 MAR 2022
1843,2:32:08,Su-min LEE,Women,Marathon,13 DEC 1992,KOR,7,Daegu (KOR),03 APR 2022
1843,2:32:08,Diana BOGANTES,Women,Marathon,10 NOV 1988,CRC,50,Valencia (ESP),03 DEC 2023
1851,2:32:09,Maria TRUJILLO,Women,Marathon,19 OCT 1959,MEX,1,"Columbus, OH (USA)",08 NOV 1987
1851,2:32:09,Toshiko MORI,Women,Marathon,21 JAN 1974,JPN,12,Nagoya (JPN),10 MAR 1996
1851,2:32:09,Rachel HANNAH,Women,Marathon,02 OCT 1986,CAN,6,"Houston, TX (USA)",17 JAN 2016
1851,2:32:09,Sakiko MATSUMI,Women,Marathon,07 AUG 1988,JPN,17,Nagoya (JPN),13 MAR 2016
1855,2:32:10,Olga ROSSEYEVA,Women,Marathon,01 AUG 1981,RUS,8,Hamburg (GER),27 APR 2008
1855,2:32:10,Jinting SONG,Women,Marathon,20 MAR 1995,CHN,7,Xuzhou (CHN),11 APR 2021
1857,2:32:11,Hong-yan XIAO,Women,Marathon,1965,CHN,1,Tianjin (CHN),29 MAR 1987
1857,2:32:11,Lesley LEHANE,Women,Marathon,12 MAR 1963,USA,3,St. Paul (USA),02 OCT 1988
1857,2:32:11,Hiromi WATANABE,Women,Marathon,24 FEB 1979,JPN,9,Nagoya (JPN),10 MAR 2002
1857,2:32:11,Kedir REHIMA,Women,Marathon,11 DEC 1985,ETH,6,Daegu (KOR),10 APR 2011
1857,2:32:11,Dorothy MCMAHAN,Women,Marathon,06 NOV 1976,USA,7,"Chicago, IL (USA)",07 OCT 2012
1857,2:32:11,Saki TOKORO,Women,Marathon,23 MAY 1994,JPN,6,Saitama (JPN),09 DEC 2018
1857,2:32:11,Sheila Jepkosgei CHESANG,Women,Marathon,17 JUL 1986,KEN,3,Buri Ram (THA),27 JAN 2024
1864,2:32:12,Emily ROTICH,Women,Marathon,29 AUG 1979,KEN,2,Dublin (IRL),31 OCT 2011
1865,2:32:13,Mi-Kyoung LEE,Women,Marathon,26 MAY 1975,KOR,2,Kyongju (KOR),24 MAR 1996
1865,2:32:13,Hui LI,Women,Marathon,11 MAY 1987,CHN,4,Shanghai (CHN),04 DEC 2011
1865,2:32:13,Xiaolin ZHENG,Women,Marathon,17 APR 1989,CHN,8,Beijing (CHN),25 NOV 2012
1865,2:32:13,Trihas GEBRE,Women,Marathon,29 APR 1990,ESP,9,"Olympiastadion, Berlin (GER)",12 AUG 2018
1865,2:32:13,Yezna ADEMASU,Women,Marathon,03 OCT 2004,ETH,4,Suzhou (CHN),01 DEC 2024
1870,2:32:14,Jin-suk CHANG,Women,Marathon,10 JAN 1983,KOR,1,Jeonju (KOR),01 JAN 2004
1870,2:32:14,Hitomi MIZUGUCHI,Women,Marathon,12 AUG 1996,JPN,14,Tokyo (JPN),05 MAR 2023
1870,2:32:14,Hanne Mjøen MARIDAL,Women,Marathon,21 SEP 1996,NOR,11,Wien (AUT),21 APR 2024
1873,2:32:15,Takako KOTORIDA,Women,Marathon,02 APR 1977,JPN,8,Osaka (JPN),25 JAN 2004
1873,2:32:15,Nataliya BERKUT,Women,Marathon,30 MAY 1975,UKR,16,Osaka (JPN),27 JAN 2008
1873,2:32:15,Ruth MATEBO,Women,Marathon,07 FEB 1988,KEN,5,Marrakech (MAR),28 JAN 2018
1876,2:32:16,Yuriko KAJIMOTO,Women,Marathon,07 MAY 1968,JPN,12,Osaka (JPN),26 JAN 1992
1876,2:32:16,Hisako INAMI,Women,Marathon,19 MAY 1971,JPN,10,Osaka (JPN),25 JAN 1998
1876,2:32:16,Jennifer Chesinon LINGAKWIANG,Women,Marathon,06 AUG 1982,KEN,1,Bruxelles (BEL),10 OCT 2004
1876,2:32:16,Ling WANG,Women,Marathon,22 SEP 1987,CHN,4,Xiamen (CHN),26 MAR 2005
1876,2:32:16,Emi IKEDA,Women,Marathon,29 AUG 1983,JPN,10,Tokyo (JPN),26 FEB 2012
1876,2:32:16,Xuemei HUANG,Women,Marathon,04 NOV 1992,CHN,7,Beijing (CHN),29 OCT 2023
1876,2:32:16,Maya WEIGEL,Women,Marathon,,USA,20,"Orlando, FL (USA)",03 FEB 2024
1883,2:32:17,Yelena VINITSKAYA,Women,Marathon,23 AUG 1973,BLR,2,"Austin, TX (USA)",17 FEB 2002
1883,2:32:17,Larisa MALIKOVA,Women,Marathon,02 APR 1969,RUS,3,Hamburg (GER),18 APR 2004
1883,2:32:17,Fiona DOCHERTY,Women,Marathon,01 SEP 1975,NZL,9,"Chicago, IL (USA)",10 OCT 2010
1883,2:32:17,Sinke DESSIE,Women,Marathon,11 OCT 1994,ETH,5,Hong Kong (HKG),17 FEB 2019
1887,2:32:18,Jiang BO,Women,Marathon,13 MAR 1977,CHN,1,Dalian (CHN),05 NOV 1995
1887,2:32:18,Sarah Kiptoo JERIWOI,Women,Marathon,1989,KEN,2,St. Paul (USA),09 OCT 2016
1887,2:32:18,Brenda FLORES,Women,Marathon,04 SEP 1991,MEX,15,"Chandler, AZ (USA)",20 DEC 2020
1887,2:32:18,Deysi CASTRO,Women,Marathon,,PER,4,Lima (PER),19 MAY 2024
1891,2:32:19,Danna KELLY-HERRICK,Women,Marathon,31 OCT 1986,USA,16,Frankfurt (GER),28 OCT 2018
1892,2:32:20,Hiroko KINUKI,Women,Marathon,18 JUL 1974,JPN,9,Nagoya (JPN),12 MAR 2000
1892,2:32:20,Florinda ANDREUCCI,Women,Marathon,19 DEC 1969,ITA,6,Torino (ITA),21 APR 2002
1892,2:32:20,Hiroko MIYAUCHI,Women,Marathon,19 JUN 1983,JPN,7,Yokohama (JPN),15 NOV 2009
1892,2:32:20,Min WANG,Women,Marathon,22 JAN 1997,CHN,28,Berlin (GER),24 SEP 2023
1892,2:32:20,Whitney MACON,Women,Marathon,06 FEB 1993,USA,6,"Houston, TX (USA)",19 JAN 2025
1897,2:32:21,Miwako KONDO,Women,Marathon,14 FEB 1975,JPN,6,Tokyo (JPN),15 NOV 1998
1897,2:32:21,Yumiko OKAMOTO,Women,Marathon,28 MAR 1978,JPN,9,Tokyo (JPN),21 NOV 2004
1897,2:32:21,Susanne PUMPER,Women,Marathon,01 SEP 1970,AUT,4,Wien (AUT),07 MAY 2006
1897,2:32:21,Sophia CHESIRE,Women,Marathon,,KEN,2,La Rochelle (FRA),26 NOV 2017
